"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJUN0028","40.708904","-74.321518","37.5","2023-01",,,,,,,,"1.90",,,"5.53",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-02",,,,,,,,"0.21",,,"0.80",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-03",,,,,,,,"1.37",,,"3.44",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-04",,,,,,,,"2.25",,,"5.54",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-05",,,,,,,,"3.23",,,"4.32",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-06",,,,,,,,"0.89",,,"3.30",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-07",,,,,,,,"2.18",,,"5.80",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-09",,,,,,,,"1.18",,,"7.24",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-10",,,,,,,,"1.14",,,"3.25",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-11",,,,,,,,"2.55",,,"3.99",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-03",,,,,,,,"2.07",,,"8.43",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-04",,,,,,,,"1.53",,,"4.65",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-05",,,,,,,,"1.04",,,"4.47",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-06",,,,,,,,"0.87",,,"2.39",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-07",,,,,,,,"1.14",,,"3.33",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-08",,,,,,,,"4.18",,,"10.02",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-09",,,,,,,,"0.33",,,"0.84",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-10",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-11",,,,,,,,"1.11",,,"3.73",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-04",,,,,,,,"1.36",,,"3.42",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-05",,,,,,,,"1.13",,,"2.82",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-06",,,,,,,,"0.74",,,"2.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-07",,,,,,,,"2.68",,,"5.50",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-08",,,,,,,,"1.29",,,"5.46",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-09",,,,,,,,"1.54",,,"6.20",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-10",,,,,,,,"0.63",,,"2.39",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-11",,,,"0",,,"0.0","1.15",,,"1.50","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-12",,,,,,,,"3.26",,,"8.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-01",,,,,,,,"2.41",,,"6.60",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-02",,,,,,,,"0.51",,,"1.26",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-03",,,,,,,,"2.35",,,"9.80",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-04",,,,,,,,"1.51",,,"4.17",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-06",,,,"0",,,"0.0",,,,,"0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-07",,,,,,,,"0.97",,,"2.49",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-08",,,,,,,,"2.60",,,"5.39",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-09",,,,"0",,,"0.0","0.28",,,"0.55","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-10",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-11",,,,,,,,"1.02",,,"3.12",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-12",,,,,,,,"0.90",,,"4.81",,,,,,,,
"USW00014734","40.68275","-74.16927","1.9","2023-01","9.2","0","0","0","29","0","0.0","0.95","66","2239","4.31","0.0","44.0","50.6","37.4","260","260","33.1","44"
"USW00014734","40.68275","-74.16927","1.9","2023-02","9.8","0","1","1","5","2","1.2","0.38","70","2915","1.41","2.0","40.8","49.8","31.9","290","320","36.9","48"
"USW00014734","40.68275","-74.16927","1.9","2023-03","11.4","0","1","0","27","1","0.4","1.24","65","3537","3.33","0.6","44.9","53.1","36.7","310","320","36.9","49"
"USW00014734","40.68275","-74.16927","1.9","2023-04","9.6","37","0","0","35","0","0.0","3.05","93","3786","8.07","0.0","58.0","67.9","48.0","310","310","40.0","54"
"USW00014734","40.68275","-74.16927","1.9","2023-05","8.9","87","0","0","44","0","0.0","0.66","90","3880","0.90","0.0","63.5","74.0","53.1","260","230","31.1","39"
"USW00014734","40.68275","-74.16927","1.9","2023-06","8.1","291","0","0","49","0","0.0","0.90","91","3887","2.67","0.0","71.6","80.7","62.5","350","350","35.1","42"
"USW00014734","40.68275","-74.16927","1.9","2023-07","7.4","775","0","0","64","0","0.0","1.49","96","0","6.26","0.0","80.6","89.1","72.1","230","240","36.0","46"
"USW00014734","40.68275","-74.16927","1.9","2023-08","8.5","1136","0","0","62","0","0.0","0.91","91","0","4.26","0.0","76.7","84.5","68.8","320","320","31.1","37"
"USW00014734","40.68275","-74.16927","1.9","2023-09","9.2","1348","0","0","51","0","0.0","1.72","97","26","8.31","0.0","71.2","78.9","63.5","190","190","31.1","39"
"USW00014734","40.68275","-74.16927","1.9","2023-10","8.3","1401","0","0","44","0","0.0","1.83","85","174","4.02","0.0","62.0","70.6","53.3","320","290","29.1","41"
"USW00014734","40.68275","-74.16927","1.9","2023-11","9.2","1401","0","0","27","0","0.0","1.46","70","724","2.91","0.0","46.7","55.7","37.6","280","110","28.0","40"
"USW00014734","40.68275","-74.16927","1.9","2023-12","8.3","1401","0","0","25","0","0.0","2.75","64","1366","7.56","0.0","44.3","50.8","37.9","170","140","32.0","48"
"USW00014734","40.68275","-74.16927","1.9","2024-01","9.8","0","7","1","17","2","1.7","2.05","61","2223","5.53","3.1","37.4","43.3","31.4","260","270","40.0","50"
"USW00014734","40.68275","-74.16927","1.9","2024-02","8.9","0","5","2","19","4","4.9","0.58","63","2955","1.75","9.1","39.8","47.4","32.1","280","270","42.9","64"
"USW00014734","40.68275","-74.16927","1.9","2024-03","11.0","0","0","0","29","0","0.0","3.10","75","3468","8.00","0.0","48.5","56.5","40.4","290","290","44.1","59"
"USW00014734","40.68275","-74.16927","1.9","2024-04","9.8","12","0","0","38","0","0.0","1.84","86","3776","3.85","0.0","55.1","63.6","46.7","260","260","36.9","56"
"USW00014734","40.68275","-74.16927","1.9","2024-05","8.3","132","0","0","46","0","0.0","0.63","90","3851","2.80","0.0","66.4","75.2","57.6","240","250","35.1","48"
"USW00014734","40.68275","-74.16927","1.9","2024-06","9.6","506","0","0","58","0","0.0","0.45","100","3851","1.75","0.0","77.5","87.5","67.4","280","300","42.9","59"
"USW00014734","40.68275","-74.16927","1.9","2024-07","7.8","1010","0","0","64","0","0.0","1.28","99","0","3.60","0.0","81.2","89.7","72.8","230","230","40.0","53"
"USW00014734","40.68275","-74.16927","1.9","2024-08","7.8","1380","0","0","56","0","0.0","1.68","100","0","6.69","0.0","76.9","85.7","68.2","360","290","33.1","44"
"USW00014734","40.68275","-74.16927","1.9","2024-09","7.8","1529","0","0","51","0","0.0","0.40","87","3","0.89","0.0","69.8","78.3","61.4","290","300","25.1","36"
"USW00014734","40.68275","-74.16927","1.9","2024-10","7.6","1559","0","0","41","0","0.0","0.00","84","141","0.00","0.0","61.5","72.0","51.0","290","260","36.0","51"
"USW00014734","40.68275","-74.16927","1.9","2024-11","10.3","1573","0","0","30","0","0.0","1.43","83","550","2.92","0.0","51.8","60.5","43.1","280","280","33.1","51"
"USW00014734","40.68275","-74.16927","1.9","2024-12","9.4","1573","3","2","11","2","2.2","0.86","65","1389","4.39","3.5","37.9","45.0","30.8","270","260","36.0","49"
"USW00014732","40.77945","-73.88027","3.0","2023-01","10.7","0","0","0","30","0","0.0","1.13","66","2131","4.66","0.0","43.3","48.4","38.1","310","180","33.1","45"
"USW00014732","40.77945","-73.88027","3.0","2023-02","11.2","0","1","2","5","2","1.6","0.31","69","2808","1.35","2.9","40.8","48.1","33.5","290","310","40.0","54"
"USW00014732","40.77945","-73.88027","3.0","2023-03","12.8","0","0","0","31","0","0.1","1.13","63","3437","3.30","0.1","44.7","51.2","38.2","320","320","36.0","46"
"USW00014732","40.77945","-73.88027","3.0","2023-04","10.7","33","0","0","38","0","0.0","3.09","89","3710","8.25","0.0","57.0","65.2","48.8","310","300","35.1","45"
"USW00014732","40.77945","-73.88027","3.0","2023-05","9.4","86","0","0","45","0","0.0","1.26","87","3811","1.39","0.0","63.4","71.7","55.1","290","280","28.0","37"
"USW00014732","40.77945","-73.88027","3.0","2023-06","9.6","272","0","0","51","0","0.0","0.39","90","3819","1.04","0.0","70.9","78.5","63.3","350","360","25.1","36"
"USW00014732","40.77945","-73.88027","3.0","2023-07","8.3","750","0","0","67","0","0.0","1.39","95","0","5.39","0.0","80.4","87.5","73.3","270","260","36.9","53"
"USW00014732","40.77945","-73.88027","3.0","2023-08","9.4","1090","0","0","65","0","0.0","1.57","88","0","7.89","0.0","76.0","82.1","69.8","270","290","36.9","51"
"USW00014732","40.77945","-73.88027","3.0","2023-09","10.5","1301","0","0","53","0","0.0","4.10","96","31","12.76","0.0","71.0","76.9","65.1","60","60","36.0","44"
"USW00014732","40.77945","-73.88027","3.0","2023-10","8.7","1357","0","0","46","0","0.0","0.94","84","178","4.18","0.0","62.1","68.4","55.7","280","270","30.0","38"
"USW00014732","40.77945","-73.88027","3.0","2023-11","10.3","1357","0","0","28","0","0.0","1.78","66","702","2.77","0.0","47.5","53.8","41.3","300","120","32.0","43"
"USW00014732","40.77945","-73.88027","3.0","2023-12","10.3","1357","0","0","26","0","0.0","2.13","63","1343","6.71","0.0","44.3","49.2","39.4","140","160","38.0","54"
"USW00014732","40.77945","-73.88027","3.0","2024-01","12.1","0","5","2","19","2","2.0","1.95","60","2205","5.81","3.9","37.2","41.9","32.5","160","160","40.0","55"
"USW00014732","40.77945","-73.88027","3.0","2024-02","10.5","0","4","2","24","3","3.3","0.64","60","2940","1.88","6.6","39.6","45.6","33.7","300","240","36.9","55"
"USW00014732","40.77945","-73.88027","3.0","2024-03","12.3","0","0","0","29","0","0.0","3.47","72","3490","9.62","0.0","47.3","54.3","40.3","310","320","38.0","58"
"USW00014732","40.77945","-73.88027","3.0","2024-04","11.4","10","0","0","37","0","0.0","1.75","85","3841","3.61","0.0","53.7","60.8","46.5","60","60","38.9","53"
"USW00014732","40.77945","-73.88027","3.0","2024-05","9.2","99","0","0","49","0","0.0","0.74","86","3932","2.85","0.0","64.9","72.3","57.5","50","250","31.1","43"
"USW00014732","40.77945","-73.88027","3.0","2024-06","10.1","432","0","0","61","0","0.0","0.61","97","3932","1.67","0.0","76.1","84.5","67.7","260","250","38.9","49"
"USW00014732","40.77945","-73.88027","3.0","2024-07","9.2","887","0","0","65","0","0.0","1.40","97","0","3.83","0.0","79.7","87.1","72.3","300","300","30.0","47"
"USW00014732","40.77945","-73.88027","3.0","2024-08","9.2","1251","0","0","59","0","0.0","2.96","95","0","7.82","0.0","76.7","83.8","69.7","170","170","33.1","52"
"USW00014732","40.77945","-73.88027","3.0","2024-09","9.4","1395","0","0","57","0","0.0","0.73","85","6","1.33","0.0","69.6","75.7","63.5","300","310","25.1","37"
"USW00014732","40.77945","-73.88027","3.0","2024-10","9.2","1430","0","0","45","0","0.0","0.01","83","130","0.01","0.0","62.1","69.8","54.5","310","300","33.1","46"
"USW00014732","40.77945","-73.88027","3.0","2024-11","11.4","1444","0","0","32","0","0.0","1.28","81","513","3.00","0.0","52.7","59.2","46.2","320","330","38.0","51"
"USW00014732","40.77945","-73.88027","3.0","2024-12","11.2","1444","2","1","12","2","2.8","1.09","60","1314","5.07","3.2","39.1","44.5","33.8","320","260","33.1","50"
"US1NJBG0065","40.81007","-74.133975","6.4","2023-05",,,,,,,,"2.89",,,"3.87",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-06",,,,,,,,"0.91",,,"2.29",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-07",,,,,,,,"1.12",,,"4.53",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-08",,,,,,,,,,,"5.12",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-09",,,,,,,,"1.25",,,"8.09",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-10",,,,,,,,"1.94",,,"5.70",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-11",,,,,,,,"2.55",,,"3.69",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-01",,,,,,,,"1.37",,,"4.87",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-02",,,,,,,,"0.56",,,"1.55",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-03",,,,,,,,"1.35",,,"3.65",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-04",,,,,,,,"1.96",,,"5.89",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-05",,,,,,,,"2.38",,,"3.54",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-06",,,,,,,,"0.78",,,"2.23",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-07",,,,,,,,"0.81",,,"4.81",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-08",,,,,,,,"0.90",,,"4.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-09",,,,,,,,"1.02",,,"8.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-10",,,,,,,,"2.27",,,"5.57",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-11",,,,,,,,"2.14",,,"3.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-12",,,,,,,,"2.90",,,"7.93",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-01",,,,,,,,"2.48",,,"6.29",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-02",,,,,,,,"0.48",,,"2.08",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-03",,,,,,,,"2.65",,,"9.11",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-04",,,,,,,,"1.37",,,"3.46",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-05",,,,,,,,"1.06",,,"4.51",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-06",,,,,,,,"1.34",,,"3.06",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-07",,,,,,,,"0.95",,,"3.57",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-08",,,,,,,,"3.05",,,"10.03",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-09",,,,,,,,"0.44",,,"1.15",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-10",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-11",,,,,,,,"1.10",,,"3.26",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-12",,,,,,,,"0.79",,,"4.22",,,,,,,,
"USC00308577","40.8216","-73.4908","80.8","2023-01",,"0",,,"26",,,"1.56","65","2541","4.09",,"39.9","46.5","33.3",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-02",,"0","1","1","2","2","1.8","0.27","68","3334","1.15","1.8","36.7","45.2","28.2",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-03",,"0","0","0","24","0","0.0","0.85","61","4091","2.90","0.0","40.6","48.3","32.9",,,,
