month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-12-01,A DIVISION,1,offpeak,5034590,0.9629582,0.7380453,4848099.5,3715755,643165.4,0.12774931,0.8722507
2024-12-01,A DIVISION,1,peak,5552918,1.0202761,0.6621421,5665509,3676820.8,624175.44,0.11240494,0.88759506
2024-12-01,A DIVISION,2,offpeak,3078700.2,1.42567,0.7267879,4389210.5,2237562.2,555590.8,0.18046278,0.8195372
2024-12-01,A DIVISION,2,peak,3672602.5,1.1477195,0.4486904,4215117.5,1647861.6,483096.44,0.13154063,0.86845934
2024-12-01,A DIVISION,3,offpeak,2344247.5,0.9843538,0.45658174,2307569,1070340.6,293768.3,0.12531455,0.87468547
2024-12-01,A DIVISION,3,peak,2867204.8,0.9594973,0.42821017,2751075,1227766.2,305835.66,0.10666683,0.89333314
2024-12-01,A DIVISION,4,offpeak,4061860.5,0.93630624,0.360165,3803145.2,1462940,541052.4,0.13320309,0.8667969
2024-12-01,A DIVISION,4,peak,4294458,0.9324141,0.3694441,4004213.5,1586562.2,524842.25,0.12221384,0.87778616
2024-12-01,A DIVISION,5,offpeak,2769309.5,1.2185069,0.62145257,3374423,1720994.5,398652.22,0.14395365,0.8560463
2024-12-01,A DIVISION,5,peak,3658115.2,1.0738622,0.32557574,3928312,1190993.6,463947.56,0.12682694,0.87317306
2024-12-01,A DIVISION,6,offpeak,5352619.5,0.9788268,0.57907265,5239287.5,3099555.8,587825.25,0.1098201,0.8901799
2024-12-01,A DIVISION,6,peak,6026514,1.0891222,0.65205234,6563609.5,3929602.2,699077.06,0.116000235,0.88399976
2024-12-01,A DIVISION,7,offpeak,3937855.5,0.9241231,0.5071857,3639063.2,1997224.1,454101,0.11531682,0.8846832
2024-12-01,A DIVISION,7,peak,4489420,0.92569864,0.47618914,4155849.8,2137813,402728.78,0.0897062,0.9102938
2024-12-01,A DIVISION,S 42nd,offpeak,356117.38,0.47375047,-0.23318224,168710.78,-83040.25,4913.1147,0.013796336,0.9862037
2024-12-01,A DIVISION,S 42nd,peak,478859.62,0.42204693,-0.2356899,202101.23,-112862.375,2376.84,0.0049635423,0.9950365
2024-12-01,B DIVISION,A,offpeak,3733422.8,1.7670912,0.9320066,6597298.5,3479574.8,795985.94,0.21320541,0.7867946
2024-12-01,B DIVISION,A,peak,4675352.5,1.3334132,0.53974754,6234177,2523510,720395.75,0.15408373,0.8459163
2024-12-01,B DIVISION,B,offpeak,2108316,1.6020979,1.0702657,3377728.8,2256458.2,491023.56,0.23289846,0.7671015
2024-12-01,B DIVISION,B,peak,2911606,1.7316356,1.1212695,5041840,3264694.5,682857.75,0.23452958,0.7654704
2024-12-01,B DIVISION,C,offpeak,2612227.2,2.14858,0.6569301,5612579.5,1716050.6,495382.34,0.18963984,0.8103602
2024-12-01,B DIVISION,C,peak,2254546.5,1.9919666,0.40765437,4490981.5,919075.75,378889.12,0.16805558,0.8319444
2024-12-01,B DIVISION,D,offpeak,3017434,1.4033973,0.84956205,4234659,2563497.2,691994.6,0.22933215,0.77066785
2024-12-01,B DIVISION,D,peak,2853317.8,1.2143877,0.9392878,3465034,2680086.5,588467.6,0.20623976,0.79376024
2024-12-01,B DIVISION,E,offpeak,3565661,1.4916927,0.08730408,5318870.5,311296.75,605021.7,0.16968009,0.83031994
2024-12-01,B DIVISION,E,peak,4059400.8,1.7897754,-0.6252351,7265415.5,-2538079.8,580803.4,0.14307614,0.8569239
2024-12-01,B DIVISION,F,offpeak,4265109,2.489218,0.27748182,10616786,1183490.2,1063169.1,0.24927127,0.7507287
2024-12-01,B DIVISION,F,peak,4928532,2.375978,-0.34841362,11710084,-1717167.8,921883.8,0.18705037,0.8129496
2024-12-01,B DIVISION,G,offpeak,1359405.6,1.8876348,1.0775381,2566061.2,1464811.4,262920.06,0.1934081,0.8065919
2024-12-01,B DIVISION,G,peak,1537754.5,1.4783454,0.6790631,2273332.2,1044232.25,267223.2,0.17377493,0.82622504
2024-12-01,B DIVISION,JZ,offpeak,1477835.5,1.4524089,0.52393293,2146421.5,774286.7,288955.62,0.19552626,0.80447376
2024-12-01,B DIVISION,JZ,peak,1563652.5,1.4040341,0.7525789,2195421.5,1176771.9,327864.22,0.20967844,0.7903215
2024-12-01,B DIVISION,L,offpeak,2786963.8,0.89251953,0.6581386,2487419.5,1834208.4,256322.78,0.09197205,0.90802795
2024-12-01,B DIVISION,L,peak,2952364.2,0.9769491,0.592964,2884309.8,1750645.9,278457.62,0.094316825,0.90568316
2024-12-01,B DIVISION,M,offpeak,1860038.6,2.159854,0.13195711,4017411.5,245445.33,405896.97,0.21821964,0.78178036
2024-12-01,B DIVISION,M,peak,2132369.8,1.9315752,0.06498839,4118832.2,138579.27,434743.28,0.20387802,0.796122
2024-12-01,B DIVISION,N,offpeak,2671730.8,1.4836915,0.8127969,3964024,2171574.5,564546.4,0.21130362,0.78869635
2024-12-01,B DIVISION,N,peak,2978124.5,1.5859555,0.77863514,4723173,2318872.2,581378.94,0.19521646,0.8047835
2024-12-01,B DIVISION,Q,offpeak,3273206.8,1.489177,0.7693328,4874384,2518185.2,711102.25,0.21724942,0.7827506
2024-12-01,B DIVISION,Q,peak,3641934.2,1.5595517,1.1343263,5679784.5,4131142,838218.8,0.2301576,0.7698424
2024-12-01,B DIVISION,R,offpeak,3487791.5,2.1356428,0.12155514,7448676.5,423959,810239.44,0.2323073,0.7676927
2024-12-01,B DIVISION,R,peak,4011274,2.3063462,0.042992104,9251386,172453.12,920945.7,0.22958931,0.77041066
2024-12-01,B DIVISION,S Fkln,offpeak,194860.36,0.220359,0.041960016,42939.234,8176.3438,6360.0054,0.032638784,0.9673612
2024-12-01,B DIVISION,S Fkln,peak,194189.34,0.5707303,0.057167325,110829.74,11101.285,9461.589,0.048723523,0.9512765
2024-12-01,B DIVISION,S Rock,offpeak,26513.352,1.2623241,-0.90806454,33468.44,-24075.834,3445.474,0.12995242,0.87004757
2024-12-01,B DIVISION,S Rock,peak,19257.482,0.8787027,-1.183044,16921.602,-22782.447,1812.6135,0.09412515,0.90587485
2024-12-01,B DIVISION,W,offpeak,1265461.6,0.9385583,0.2576316,1187709.5,326022.94,142330.02,0.112472795,0.8875272
2024-12-01,B DIVISION,W,peak,1560615.4,1.0150304,0.01021146,1584072.1,15936.161,157289.64,0.10078694,0.8992131
2024-11-01,A DIVISION,1,offpeak,5068791.5,0.9363785,0.74850494,4746307.5,3794015.5,586549.44,0.11571781,0.8842822
2024-11-01,A DIVISION,1,peak,5383264,0.90336776,0.6391812,4863067,3440881,505691.5,0.09393771,0.9060623
2024-11-01,A DIVISION,2,offpeak,3032113.5,1.5831995,0.6436474,4800440.5,1951611.9,539822.3,0.178035,0.821965
2024-11-01,A DIVISION,2,peak,3525870.8,1.4489627,0.47885892,5108855,1688394.6,468153.22,0.13277663,0.8672234
2024-11-01,A DIVISION,3,offpeak,2387332.2,0.93723935,0.47048602,2237501.5,1123206.4,303043.7,0.12693821,0.8730618
2024-11-01,A DIVISION,3,peak,2725367,0.97152644,0.4645536,2647766,1266079,293893.03,0.107836135,0.8921639
2024-11-01,A DIVISION,4,offpeak,3890383,0.9442483,0.47285518,3673487.5,1839587.8,500179.34,0.12856814,0.8714318
2024-11-01,A DIVISION,4,peak,4055560.8,0.9437293,0.37531948,3827351.5,1522131,439218.62,0.10830034,0.8916997
2024-11-01,A DIVISION,5,offpeak,2767408.2,1.4020407,0.5392692,3880019,1492378,401939.78,0.1452405,0.8547595
2024-11-01,A DIVISION,5,peak,3498391,1.2329745,0.14479417,4313427,506546.6,400567.4,0.11450047,0.88549954
2024-11-01,A DIVISION,6,offpeak,5244800.5,1.1911042,0.7499188,6247104,3933174.5,698871.3,0.13325033,0.8667497
2024-11-01,A DIVISION,6,peak,5714858,1.2482073,0.82381856,7133327.5,4708006,774297.5,0.1354885,0.8645115
2024-11-01,A DIVISION,7,offpeak,4140123,0.8517269,0.5469394,3526254,2264396.5,454534.78,0.10978775,0.89021224
2024-11-01,A DIVISION,7,peak,4577398,0.7711771,0.39324623,3529984.5,1800044.6,350618.22,0.07659771,0.9234023
2024-11-01,A DIVISION,S 42nd,offpeak,374035.88,0.64543056,-0.11320886,241414.19,-42344.176,9659.524,0.025825128,0.97417486
2024-11-01,A DIVISION,S 42nd,peak,467627.34,0.43398687,-0.12632993,202944.12,-59075.33,2190.4287,0.004684133,0.99531585
2024-11-01,B DIVISION,A,offpeak,3745645,2.116199,1.1853607,7926530,4439940,836407.6,0.22330137,0.77669865
2024-11-01,B DIVISION,A,peak,4504196,2.232473,0.91271836,10055496,4111062.5,772755.44,0.17156345,0.82843655
2024-11-01,B DIVISION,B,offpeak,1991854.5,2.0842826,0.9307903,4151588,1853998.9,457962.12,0.22991745,0.77008253
2024-11-01,B DIVISION,B,peak,2732252.2,2.5050175,1.2451894,6844340,3402171.5,687793.6,0.2517314,0.7482686
2024-11-01,B DIVISION,C,offpeak,2727069,2.2487423,0.8726493,6132475.5,2379774.8,512904.66,0.1880791,0.8119209
2024-11-01,B DIVISION,C,peak,2244385.8,2.4063299,0.6237622,5400733,1399963,381217.9,0.169854,0.830146
2024-11-01,B DIVISION,D,offpeak,3160868.5,1.9992212,1.199888,6319275,3792688.2,764057.1,0.24172379,0.7582762
2024-11-01,B DIVISION,D,peak,2811066,2.3674817,1.3495898,6655148,3793786.2,689887.94,0.24541861,0.7545814
2024-11-01,B DIVISION,E,offpeak,3629262,1.5103679,0.36684808,5481521,1331387.9,601842.3,0.1658305,0.8341695
2024-11-01,B DIVISION,E,peak,3947307.8,1.5456132,-0.38543588,6101010.5,-1521434,493679.3,0.12506735,0.87493265
2024-11-01,B DIVISION,F,offpeak,4318250.5,1.7744378,0.28597668,7662467,1234919,916975.2,0.21234876,0.78765124
2024-11-01,B DIVISION,F,peak,4711591.5,1.5931323,-0.33104733,7506188.5,-1559759.8,716833.56,0.15214255,0.8478574
2024-11-01,B DIVISION,G,offpeak,1334406,1.1082351,0.91551983,1478835.6,1221675.1,219724.14,0.16466063,0.83533937
2024-11-01,B DIVISION,G,peak,1461647.6,0.99423397,0.60048157,1453219.8,877692.44,245542.56,0.16799025,0.83200973
2024-11-01,B DIVISION,JZ,offpeak,1461708.1,1.7423342,0.7898168,2546784.2,1154481.6,306325.34,0.2095667,0.7904333
2024-11-01,B DIVISION,JZ,peak,1511027.8,2.9344876,0.71202016,4434092,1075882.2,324089.25,0.21448267,0.78551733
2024-11-01,B DIVISION,L,offpeak,2842896.2,0.74947786,0.54432684,2130687.8,1547464.6,237886.9,0.083677664,0.91632235
