month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2015-01-01,A DIVISION,1,peak,5170116.8,1.371437615,0.825561936,7090492.655,4268251.636,580364,0.112253557,0.887746443
2015-01-01,A DIVISION,1,offpeak,5442987.9,0.913303631,0.667313927,4971100.611,3632181.629,488584.7,0.089764061,0.910235939
2015-01-01,A DIVISION,2,offpeak,4647297,1.08485279,1.258279286,5041633.115,5847597.552,812798.4,0.174897021,0.825102979
2015-01-01,A DIVISION,2,peak,4719248.8,1.099683658,1.419204671,5189680.783,6697579.942,839705.4,0.177932005,0.822067995
2015-01-01,A DIVISION,3,offpeak,3602657.1,0.686006754,0.856339513,2471447.105,3085097.627,368404.9,0.102259219,0.897740781
2015-01-01,A DIVISION,3,peak,3499902.7,0.828935858,1.126717695,2901194.849,3943402.302,427989.9,0.122286228,0.877713772
2015-01-01,A DIVISION,4,offpeak,5529403.1,1.018127,1.361473673,5629634.593,7528136.748,943443.1,0.170622956,0.829377044
2015-01-01,A DIVISION,4,peak,5547859.3,1.056521581,2.211488168,5861433.081,12269025.2,1272019,0.229281049,0.770718951
2015-01-01,A DIVISION,5,peak,4378437.9,1.155193481,2.435744418,5057942.917,10664755.67,1089403.4,0.248810974,0.751189026
2015-01-01,A DIVISION,5,offpeak,3915855.7,1.146051949,1.656914453,4487774.056,6488237.904,769582.9,0.196529944,0.803470056
2015-01-01,A DIVISION,6,peak,7631920.2,1.116621188,1.478300564,8521963.804,11282271.94,1317991.4,0.172694599,0.827305401
2015-01-01,A DIVISION,6,offpeak,7674809.6,0.995858844,0.90504995,7643027.013,6946086.044,1029683.7,0.134164071,0.865835929
2015-01-01,A DIVISION,7,offpeak,4201725,0.700214432,0.521443163,2942108.483,2190960.774,453825.4,0.108009306,0.891990694
2015-01-01,A DIVISION,7,peak,4420198.2,0.890209098,1.700807228,3934900.652,7517905.05,787367.1,0.178129365,0.821870635
