,trip_id,stop_sequence,arrival_time,departure_time,stop_id
0,056200_A..N55R,0,1747667226,1747667226,A06N
1,056200_A..N55R,0,1747667297,1747667297,A05N
2,056200_A..N55R,0,1747667492,1747667492,A03N
3,056200_A..N55R,0,1747667657,1747667657,A02N
4,056700_A..S58R,0,1747667231,1747667231,H04S
5,056700_A..S58R,0,1747667297,1747667297,H06S
6,056700_A..S58R,0,1747667612,1747667612,H07S
7,056700_A..S58R,0,1747667822,1747667822,H08S
8,056700_A..S58R,0,1747667882,1747667882,H09S
9,056700_A..S58R,0,1747667972,1747667972,H10S
10,056700_A..S58R,0,1747668062,1747668062,H11S
11,057500_A..S57R,0,1747667231,1747667231,A55S
12,057500_A..S57R,0,1747667297,1747667297,A57S
13,057500_A..S57R,0,1747667387,1747667387,A59S
14,057500_A..S57R,0,1747667507,1747667507,A60S
15,057500_A..S57R,0,1747667597,1747667597,A61S
16,057500_A..S57R,0,1747667852,1747667852,A63S
17,057500_A..S57R,0,1747668077,1747668077,A64S
18,057500_A..S57R,0,1747668137,1747668137,A65S
19,058300_A..S58R,0,1747667231,1747667231,H03S
20,058300_A..S58R,0,1747667297,1747667297,H04S
21,058300_A..S58R,0,1747667687,1747667687,H06S
22,058300_A..S58R,0,1747667987,1747667987,H07S
23,058300_A..S58R,0,1747668197,1747668197,H08S
24,058300_A..S58R,0,1747668257,1747668257,H09S
25,058300_A..S58R,0,1747668347,1747668347,H10S
26,058300_A..S58R,0,1747668437,1747668437,H11S
27,058300_A..N55R,0,1747667326,1747667326,A24N
28,058300_A..N55R,0,1747667776,1747667776,A15N
29,058300_A..N55R,0,1747667986,1747667986,A12N
30,058300_A..N55R,0,1747668241,1747668241,A09N
31,058300_A..N55R,0,1747668406,1747668406,A07N
32,058300_A..N55R,0,1747668496,1747668496,A06N
33,058300_A..N55R,0,1747668616,1747668616,A05N
34,058300_A..N55R,0,1747668841,1747668841,A03N
35,058300_A..N55R,0,1747669036,1747669036,A02N
36,059900_A..S58R,0,1747667231,1747667231,A60S
37,059900_A..S58R,0,1747667297,1747667297,A61S
38,059900_A..S58R,0,1747667507,1747667507,H02S
39,059900_A..S58R,0,1747667627,1747667627,H03S
40,059900_A..S58R,0,1747668047,1747668047,H04S
41,059900_A..S58R,0,1747668452,1747668452,H06S
42,059900_A..S58R,0,1747668782,1747668782,H07S
43,059900_A..S58R,0,1747669007,1747669007,H08S
44,059900_A..S58R,0,1747669067,1747669067,H09S
45,059900_A..S58R,0,1747669157,1747669157,H10S
46,059900_A..S58R,0,1747669247,1747669247,H11S
47,059600_A..N54R,0,1747667231,1747667231,A07N
